,comment,upvote,time
190,"ਜਿੰਨੀ ਵਾਰ ਮਰਜ਼ੀ ਦੇਖ ਲਓ ਮਨ ਨੀ ਭਰਦਾ 

ਜਿਉਂਦਾ ਰਹਿ ਮਾਨਾ ",80,1 year ago
191,ਹੁਣ ਟੁਟਣ ਗੇ ਰਿਕਾਰਡ ਬੱਲੀਏ ਆ ਗਿਆ ਖੰਟ ਵਾਲਾ ਮਾਨ ਬੱਲੀਏ  Maan Saab ️️,20,1 year ago
192,Love you maan saab️,1,5 months ago
193,ਬਾਈ ਤੇਰੇ ਫੈਨ  ਆਂ ਤੇਰੇ ਹੀ ਰਹਾਂ ਗੇ,2,4 months ago
194,ਅੱਜ ਕੱਲ ਦੇ ਜਵਾਕਾਂ ਵਿੱਚ ਓ ਗੱਲ ਕਿੱਥੇ.... ਮਾਨਾ ਜੋ ਤੂ ਗਾ ਦਿੱਤਾ ਸਾਨੇੰ ਓਹੀ ਪਰਵਾਨ,101,1 year ago
195,Babbumaan jindabaad ️,,1 month ago
196,Babbumaan jindabaad ️,,1 month ago
197,Babbumaan jindabaad ️,,1 month ago
198,Babbumaan jindabaad ,,1 month ago
199,Babbumaan jindabaad ️,,1 month ago
200,ਜਦੋਂ ਮਰਜ਼ੀ ਸੁਣਲੋ ਨਵਾਂ ਗੀਤ ਲੱਗਦਾ ਰੂਹ ਖੁਸ਼ ਹੋ ਜਾਂਦੀ ਬਾਈ ਗੀਤ ਸੁਣਕੇ,,7 months ago
201,Babbu Mann ,,2 weeks ago
202,100 percent original views and original comments salute to Maan Sahib,,1 year ago
203,"Oh 2 dahake pehla kabze kubze gaa dite 
Bachpan chh babu maan de 
gaane sunde si 
 Hone Sidhu moose Ale de 
Read more",3,4 months ago
204,️️ਆਪਣੇ ਨਨੇ ਬਚਿਆ ਨੂੰ ਤਹਿਜੀਬ ਸਿਖਾਵਾਂਗੇ ਕੀ ਖਾਲਸਾ ਰਾਜ ਅਸੀਂ ਪੜਵਾਗੇ ️,102,1 year ago
205,Father of Punjab music industry ,37,11 months ago
206,Goosebumps ️,,11 months ago
207,Babu maan ️,1,3 months ago
208,Number one punjabi singer only Babbu mann lots of love for you and your melodies voice,5,1 year ago
209,Sachi gal aa maan saab love u aa,,4 weeks ago
